date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:06	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Feb%202021%2009:26:57%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.Track.pageview.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.Track.pageview.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:06	140887/140887	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Feb%202021%2009:26:57%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.Track.pageview.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.Track.pageview.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:07	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Feb%202021%2009:26:58%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.wikiaBar.css	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.wikiaBar.css	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:07	140787/140787	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Feb%202021%2009:26:58%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.wikiaBar.css	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.wikiaBar.css	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:08	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Feb%202021%2009:26:59%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.wikiaBar.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.wikiaBar.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:08	140767/140767	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Feb%202021%2009:26:59%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.wikiaBar.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.wikiaBar.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:09	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Feb%202021%2009:27:00%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.ContentReview.legacyLoaders.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.ContentReview.legacyLoaders.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:09	141146/141146	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Feb%202021%2009:27:00%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.ContentReview.legacyLoaders.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.ContentReview.legacyLoaders.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:10	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Feb%202021%2009:27:01%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.ContentReview.jsReload.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.ContentReview.jsReload.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:10	141046/141046	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Feb%202021%2009:27:01%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.ContentReview.jsReload.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.ContentReview.jsReload.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:11	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Feb%202021%2009:27:02%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.SeoRedlinks.anchors.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.SeoRedlinks.anchors.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:11	140986/140986	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Feb%202021%2009:27:02%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.SeoRedlinks.anchors.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/Ext.fandom.SeoRedlinks.anchors.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
17:27:12	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Feb%202021%2009:27:02%20GMT	https://xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.CreatePage.js	C:/My%20Websites/xiaoshen/xiaoshenbike.fandom.com/zh-tw/wiki/ext.fandom.CreatePage.js	(from https://xiaoshenbike.fandom.com/zh-tw/wiki/%E7%A1%9D%E7%A5%9E_Wiki)
